Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
89270636954,94.686195,-78.249573,-12.775983,0.049493,0.058851,-1.127444
89270657011,43.201244,-81.056999,-5.453165,0.149936,0.108647,-1.295870
89270677067,-20.599022,-61.208626,3.510065,0.120369,0.126771,-1.687039
89270697145,-49.925568,-29.926908,-2.212395,0.113021,0.253084,-1.804247
89270717179,-35.794655,-5.211128,-2.849777,0.171158,0.460522,-1.711874
89270737235,-30.212252,9.396966,12.243484,0.188839,0.395263,-1.622791
89270757292,-85.966087,32.046623,23.299767,0.166562,0.303167,-1.695797
89270777348,-160.092529,64.045570,28.853910,0.095475,0.397400,-1.756102
89270797405,-227.634689,88.991508,48.329742,0.108342,0.681042,-1.646635
89270817463,-287.982422,108.572464,79.562164,0.088160,0.695221,-1.622087
89270837519,-348.570953,138.462769,107.432487,0.012283,0.597850,-1.490069
89270857575,-408.593079,170.195541,130.666901,-0.031996,0.584206,-1.276295
89270877630,-437.117584,186.841309,147.130692,0.029416,0.731972,-0.987261
89270897686,-465.813568,207.235641,169.843033,-0.015634,0.738758,-0.845425
89270917743,-532.452332,222.472229,193.362442,-0.016786,0.700332,-0.607853
89270937799,-594.633545,208.571808,221.143784,0.052668,0.732950,-0.290113
89270957856,-590.397034,187.000092,254.465820,0.115051,0.671495,-0.076998
89270977914,-577.897400,169.340790,284.928406,0.095122,0.445836,0.003859
89270997970,-556.509155,154.902557,305.766724,0.130135,0.335527,0.080177
89271018027,-518.753357,130.135040,322.988037,0.151061,0.139830,0.265364
89271038084,-512.926208,107.268890,330.268768,0.088009,-0.106913,0.369546
89271058138,-583.671448,92.770905,326.408600,0.056988,-0.298325,0.247037
89271078194,-668.630920,86.786644,328.050232,0.147705,-0.248094,0.093474
89271098251,-615.472046,60.408020,314.465881,0.128747,-0.360006,-0.110147
89271118307,-468.990204,24.482040,284.390656,0.013127,-0.549009,-0.095162
89271138364,-381.269531,5.919523,240.840118,-0.082972,-0.746783,-0.135266
89271158421,-322.610962,9.460867,208.874496,-0.145267,-0.816536,-0.291459
89271178478,-245.540436,16.268164,177.879974,-0.126338,-0.902588,-0.339678
89271198534,-154.887497,0.238847,161.857849,-0.125170,-0.857450,-0.151428
89271218589,-137.037537,-14.705675,155.341431,-0.230404,-1.111817,-0.084166
89271238646,-134.136536,-19.179134,137.052444,-0.268515,-1.040350,-0.198330
89271258702,-94.803268,-13.906920,134.626221,-0.250444,-0.777456,-0.404513
89271278759,-82.213379,4.183114,159.935928,-0.300619,-0.871105,-0.524000
89271298815,-86.986946,25.639336,162.684601,-0.412801,-1.156942,-0.354445
89271318873,-60.248096,-15.981945,119.087379,-0.424672,-1.323184,-0.040488
89271338929,-59.836266,-40.185200,91.535118,-0.405063,-0.982345,-0.468896
89271358985,-74.193382,-25.618990,109.967278,-0.345216,-0.876483,-0.659505
89271379041,-24.766375,-7.897969,109.101868,-0.475813,-1.223304,-0.708540
89271399097,-14.421722,6.457544,92.295334,-0.448037,-1.206915,-0.398699
89271419154,-5.632494,-13.194366,77.557503,-0.466797,-1.351988,-0.347724
89271439210,3.975567,-21.822266,51.510475,-0.556547,-1.637441,-0.558222
89271459266,15.649343,-20.238729,20.669947,-0.613819,-1.838935,-0.621090
89271479323,36.043690,-17.326120,-16.647591,-0.627223,-1.854791,-0.625818
89271499381,65.067383,-15.585530,-48.700768,-0.594820,-1.784360,-0.607385
89271519437,94.203781,-15.370159,-76.468269,-0.578564,-1.679214,-0.608341
89271539493,159.018616,-20.893307,-107.180412,-0.560964,-1.540907,-0.602160
89271559548,241.455093,-30.775616,-136.997116,-0.508042,-1.420132,-0.531087
89271579605,310.158417,-45.360691,-165.559113,-0.481416,-1.359898,-0.366518
89271599661,352.480103,-80.807373,-190.897720,-0.396516,-1.317551,-0.099679
89271619718,394.765472,-130.269821,-204.550095,-0.433594,-1.161645,-0.118345
89271639774,404.900452,-137.532486,-208.373749,-0.500209,-1.056653,-0.157706
89271659832,420.675659,-128.035736,-213.417435,-0.339160,-0.854396,0.020849
89271679888,486.533661,-145.398132,-214.717163,-0.291600,-0.834504,0.249747
89271699945,492.909576,-156.901306,-232.460205,-0.309001,-0.908464,0.382144
89271720006,464.925781,-171.717392,-247.667175,-0.154514,-0.550550,0.424572
89271740056,507.117004,-193.028534,-244.996719,-0.008432,-0.315004,0.359927
89271760112,619.242126,-222.878937,-241.099960,0.071010,-0.080945,0.426589
89271780169,608.067383,-233.253052,-207.918457,0.187912,0.064475,0.442488
89271800225,553.831055,-236.315887,-171.632141,0.201063,0.076282,0.355308
89271820282,506.067688,-241.755859,-148.570282,0.109980,0.197441,0.426230
89271840339,468.019287,-263.746246,-155.677979,0.069387,0.379957,0.283054
89271860396,484.391357,-281.882965,-143.825073,0.168437,0.497600,-0.021430
89271880452,492.273315,-273.196777,-113.521484,0.169453,0.511961,-0.352692
89271900507,480.508881,-260.739838,-89.201897,0.142086,0.519361,-0.403548
89271920564,474.667511,-267.760437,-67.483665,0.174571,0.548640,-0.347804
89271940620,428.394104,-268.080872,-29.447811,0.070866,0.360239,-0.422453
89271960677,298.692902,-246.000519,1.329127,-0.080553,0.155439,-0.626248
89271980733,115.570786,-211.190796,12.352274,-0.144489,0.153756,-1.271975
89272000791,76.525261,-168.793274,8.507927,-0.083294,0.288818,-1.791725
89272020847,85.933777,-116.184685,11.215347,-0.036283,0.130186,-1.623974
89272040903,-24.551392,-70.139938,7.803603,0.017256,-0.062028,-1.337691
89272060959,-125.401962,-46.077236,-12.902213,0.049681,0.197434,-1.488380
89272081015,-99.179352,-17.626835,-21.083673,0.138658,0.360700,-1.698420
89272101071,-109.722221,29.846731,-18.959272,0.164942,0.527517,-1.650981
89272121128,-151.380661,71.550026,-10.756797,0.253977,0.687913,-1.395138
89272141184,-153.172577,92.913162,3.284694,0.220977,0.659730,-1.153989
89272161242,-214.952271,114.823174,19.466402,0.206711,0.590123,-1.039734
89272181299,-328.827179,148.708618,35.921398,0.139698,0.516287,-1.117066
89272201355,-430.512878,202.575012,45.984131,0.017070,0.567596,-1.130792
89272221411,-512.126099,259.871124,60.479588,-0.040349,0.649944,-0.908936
89272241467,-509.634155,296.506439,81.396530,-0.033832,0.477250,-0.541108
89272261523,-478.729309,318.596985,104.065781,-0.003769,0.423049,-0.227520
89272281579,-488.096649,325.887268,218.151855,-0.053170,0.373401,0.072304
89272301636,-487.251862,293.819336,246.220505,-0.324125,0.270039,0.303805
89272321692,-475.281647,282.683899,195.504257,-0.528605,-0.149505,0.510333
89272341750,-436.863770,281.550659,161.372086,-0.322820,-0.730242,0.857885
89272361806,-292.967163,196.311157,107.502808,-0.167687,-0.989832,1.402689
89272381863,-319.210205,113.612488,66.290329,0.217584,-0.713653,1.957617
89272401918,-395.325745,66.920143,109.391235,0.581906,-0.124932,1.738432
89272421974,-398.630280,66.917786,149.999298,0.501448,-0.175166,1.264699
89272442031,-297.215210,72.522079,149.378693,0.363808,-0.383688,1.123414
89272462087,-126.829803,89.617432,79.645851,0.359149,-0.503368,0.951799
89272482143,42.658157,90.301613,-0.767158,0.107711,-0.439991,0.821683
89272502202,106.021744,88.994179,-20.510813,0.007606,-0.519405,0.921850
89272522258,91.189774,65.461578,1.694932,-0.070639,-0.577223,0.985061
89272542314,44.079109,78.631058,7.871511,-0.160857,-0.534904,0.913481
89272562371,40.515068,71.055450,2.842218,0.100792,-0.292892,1.015580
89272582425,69.538307,30.441307,29.206053,0.281472,-0.248134,1.119723
89272602482,135.444458,-5.631088,13.502687,0.144015,-0.389062,1.123365
89272622539,128.495163,1.539019,-2.042635,0.056027,-0.301971,1.135249
89272642595,85.461113,25.623421,27.340002,-0.085540,-0.209036,1.014984
89272662651,92.169472,22.354540,41.437149,0.024577,-0.078493,0.937332
89272682709,126.480690,53.331921,39.687962,0.152554,-0.196403,0.988933
89272702765,182.773941,107.768211,-23.341322,0.259979,-0.062535,1.927545
89272722822,13.284432,63.297604,-20.753183,0.051911,-0.151561,1.559761
89272742876,-0.117579,7.355494,32.783325,-0.052188,0.450345,0.634555
89272762933,-98.416107,-61.461239,96.685104,-0.381949,0.476397,1.260494
89272782989,13.334228,-0.170099,82.294907,0.064834,-0.355858,1.024089
89272803046,-6.664001,-4.074984,39.850883,-0.067827,-0.156463,0.975963
89272823102,-10.623172,-3.842314,61.793110,-0.233090,-0.061862,1.048526
89272843160,-29.708088,-8.420074,121.779503,0.040672,0.066465,0.962383
89272863217,8.705614,-1.477021,128.886246,-0.062834,-0.120900,0.934796
89272883273,-3.517044,-0.912295,40.642715,-0.017618,-0.085431,1.018531
89272903329,3.098904,0.823096,-9.680209,0.071218,0.024649,1.007936
89272923384,-6.024692,-0.295128,-5.154243,0.087874,0.049498,1.003685
89272943441,3.037227,0.490364,-0.283058,0.067415,0.032623,1.022736
89272963497,0.424933,0.059333,2.465477,0.062049,0.010051,0.984574
89272983553,-0.788783,-0.006832,2.703751,0.003634,-0.007306,0.980662
89273003610,0.571007,-0.132854,1.632468,-0.000934,-0.002289,1.008159
89273023667,0.457700,-0.093355,0.297817,-0.016296,0.003012,1.001062
89273043724,0.418563,-0.023697,1.236693,-0.017465,0.000038,0.994779
89273063780,0.213220,-0.126702,0.603216,-0.014751,0.001411,0.995909
89273083835,0.098010,0.114387,1.001608,-0.020131,0.005238,0.996313
